동,연도,남자평균연령,여자평균연령,평균연령
노원구전체,2016,39.3,41.8,40.6
노원구전체,2017,39.9,42.5,41.2
노원구전체,2018,40.5,43.2,41.9
노원구전체,2019,41.2,43.9,42.6
노원구전체,2020,41.9,44.6,43.3
노원구전체,2021,42.5,45.2,43.9
노원구전체,2022,43.0,45.7,44.4
노원구전체,2023,43.6,46.3,45.0
노원구전체,2024,44.1,46.9,45.6
노원구전체,2025,44.7,47.4,46.1
월계1동,2016,40.3,43.1,41.7
월계1동,2017,41.0,43.8,42.3
월계1동,2018,41.7,44.5,43.1
월계1동,2019,42.4,45.2,43.7
월계1동,2020,43.0,45.9,44.4
월계1동,2021,43.5,46.5,44.9
월계1동,2022,43.7,47.0,45.3
월계1동,2023,44.2,47.5,45.8
월계1동,2024,44.7,48.0,46.3
월계1동,2025,44.9,48.5,46.6
월계2동,2016,41.7,44.8,43.3
월계2동,2017,42.2,45.5,43.9
월계2동,2018,42.9,46.2,44.6
월계2동,2019,43.5,46.9,45.3
월계2동,2020,44.2,47.5,45.9
월계2동,2021,45.0,48.3,46.7
월계2동,2022,45.7,48.8,47.3
월계2동,2023,46.3,49.5,48.0
월계2동,2024,47.0,50.2,48.7
월계2동,2025,47.6,50.8,49.3
월계3동,2016,40.0,42.7,41.4
월계3동,2017,40.7,43.6,42.2
월계3동,2018,41.5,44.6,43.1
월계3동,2019,42.5,45.5,44.0
월계3동,2020,43.4,46.2,44.9
월계3동,2021,43.9,46.9,45.5
월계3동,2022,44.6,47.6,46.2
월계3동,2023,45.2,48.3,46.8
월계3동,2024,45.8,48.9,47.4
월계3동,2025,46.3,49.3,47.9
공릉1동,2016,40.1,42.0,41.1
공릉1동,2017,40.5,42.6,41.6
공릉1동,2018,41.1,43.1,42.1
공릉1동,2019,41.8,43.9,42.8
공릉1동,2020,42.5,44.4,43.5
공릉1동,2021,43.3,45.1,44.2
공릉1동,2022,43.6,45.3,44.5
공릉1동,2023,44.1,45.9,45.0
공릉1동,2024,44.6,46.4,45.5
공릉1동,2025,45.1,46.9,46.0
공릉2동,2016,37.7,39.4,38.6
공릉2동,2017,38.2,39.7,39.0
공릉2동,2018,38.7,40.2,39.5
공릉2동,2019,39.2,40.8,40.0
공릉2동,2020,39.8,41.4,40.6
공릉2동,2021,40.1,41.8,40.9
공릉2동,2022,40.2,41.9,41.1
공릉2동,2023,40.8,42.4,41.7
공릉2동,2024,41.3,42.8,42.1
공릉2동,2025,41.8,43.3,42.6
하계1동,2016,38.3,42.9,40.7
하계1동,2017,38.7,43.4,41.1
하계1동,2018,39.0,43.7,41.4
하계1동,2019,39.8,44.3,42.1
하계1동,2020,41.0,45.5,43.4
하계1동,2021,41.8,46.4,44.2
하계1동,2022,41.9,46.5,44.3
하계1동,2023,42.5,46.9,44.8
하계1동,2024,43.0,47.4,45.3
하계1동,2025,43.5,47.8,45.7
하계2동,2016,38.1,40.5,39.4
하계2동,2017,38.7,41.0,39.9
하계2동,2018,39.3,41.6,40.5
하계2동,2019,39.9,42.4,41.2
하계2동,2020,40.4,43.2,41.9
하계2동,2021,41.1,43.9,42.6
하계2동,2022,41.7,44.7,43.3
하계2동,2023,42.3,45.4,43.9
하계2동,2024,42.9,46.1,44.5
하계2동,2025,43.0,45.5,44.3
중계본동,2016,37.6,39.0,38.3
중계본동,2017,38.0,39.5,38.8
중계본동,2018,38.5,39.9,39.2
중계본동,2019,38.7,40.3,39.5
중계본동,2020,38.9,40.5,39.7
중계본동,2021,39.2,40.7,40.0
중계본동,2022,39.7,41.3,40.5
중계본동,2023,40.3,41.8,41.1
중계본동,2024,40.5,42.0,41.2
중계본동,2025,40.9,42.5,41.7
중계1동,2016,35.6,37.8,36.8
중계1동,2017,36.0,38.1,37.0
중계1동,2018,36.2,38.5,37.4
중계1동,2019,36.5,38.9,37.8
중계1동,2020,36.9,39.2,38.1
중계1동,2021,37.3,39.6,38.5
중계1동,2022,37.8,40.3,39.1
중계1동,2023,38.2,40.7,39.5
중계1동,2024,38.7,41.2,39.9
중계1동,2025,39.0,41.5,40.3
중계4동,2016,39.8,43.3,41.6
중계4동,2017,40.6,44.2,42.4
중계4동,2018,41.3,45.0,43.2
중계4동,2019,42.0,45.9,44.0
중계4동,2020,42.8,46.5,44.7
중계4동,2021,43.6,47.2,45.4
중계4동,2022,44.3,47.9,46.2
중계4동,2023,45.0,48.6,46.9
중계4동,2024,45.6,49.2,47.5
중계4동,2025,46.2,49.8,48.0
중계2.3동,2016,40.2,43.8,42.1
중계2.3동,2017,40.8,44.7,42.9
중계2.3동,2018,41.6,45.5,43.6
중계2.3동,2019,42.4,46.4,44.6
중계2.3동,2020,43.4,47.2,45.4
중계2.3동,2021,44.2,48.1,46.3
중계2.3동,2022,44.8,48.8,47.0
중계2.3동,2023,45.6,49.5,47.7
중계2.3동,2024,46.2,50.2,48.4
중계2.3동,2025,46.9,50.9,49.1
상계1동,2016,40.8,42.6,41.7
상계1동,2017,41.4,43.4,42.4
상계1동,2018,42.1,44.2,43.2
상계1동,2019,42.8,45.0,43.9
상계1동,2020,43.6,45.7,44.7
상계1동,2021,44.3,46.3,45.3
상계1동,2022,45.0,46.9,46.0
상계1동,2023,45.8,47.7,46.8
상계1동,2024,46.5,48.5,47.6
상계1동,2025,47.2,49.3,48.3
상계2동,2016,40.7,42.3,41.5
상계2동,2017,41.4,43.0,42.2
상계2동,2018,42.1,43.5,42.8
상계2동,2019,42.8,44.1,43.5
상계2동,2020,43.5,44.8,44.1
상계2동,2021,44.1,45.4,44.8
상계2동,2022,44.9,46.1,45.5
상계2동,2023,45.6,47.1,46.3
상계2동,2024,46.3,47.8,47.1
상계2동,2025,47.1,48.5,47.8
상계3.4동,2016,43.4,46.3,44.8
상계3.4동,2017,44.1,47.1,45.6
상계3.4동,2018,44.9,47.9,46.4
상계3.4동,2019,45.7,48.9,47.3
상계3.4동,2020,45.7,48.7,47.2
상계3.4동,2021,46.2,49.2,47.7
상계3.4동,2022,46.9,49.9,48.4
상계3.4동,2023,46.4,49.2,47.8
상계3.4동,2024,47.1,50.0,48.6
상계3.4동,2025,47.8,50.8,49.3
상계5동,2016,41.6,44.3,43.0
상계5동,2017,42.4,45.4,43.9
상계5동,2018,43.2,46.2,44.7
상계5동,2019,44.2,47.0,45.6
상계5동,2020,44.9,47.7,46.3
상계5동,2021,45.3,48.4,46.9
상계5동,2022,46.0,49.1,47.6
상계5동,2023,46.9,49.9,48.4
상계5동,2024,47.5,50.9,49.2
상계5동,2025,48.3,51.7,50.1
상계6.7동,2016,38.0,40.5,39.3
상계6.7동,2017,38.5,41.2,39.9
상계6.7동,2018,39.4,41.9,40.7
상계6.7동,2019,40.0,42.8,41.5
상계6.7동,2020,40.8,43.7,42.3
상계6.7동,2021,41.6,44.4,43.1
상계6.7동,2022,42.1,45.0,43.7
상계6.7동,2023,42.8,45.6,44.3
상계6.7동,2024,43.2,46.3,44.9
상계6.7동,2025,43.8,46.7,45.4
상계8동,2016,35.3,37.5,36.5
상계8동,2017,36.0,38.2,37.1
상계8동,2018,36.6,39.1,37.9
상계8동,2019,37.3,39.7,38.5
상계8동,2020,38.1,40.5,39.3
상계8동,2021,38.7,41.3,40.1
상계8동,2022,39.3,41.9,40.6
상계8동,2023,40.1,42.6,41.4
상계8동,2024,40.5,43.1,41.9
상계8동,2025,40.9,43.6,42.3
상계9동,2016,38.4,41.2,39.8
상계9동,2017,39.1,42.1,40.7
상계9동,2018,40.0,43.1,41.6
상계9동,2019,40.5,43.8,42.2
상계9동,2020,41.4,44.6,43.1
상계9동,2021,42.3,45.4,44.0
상계9동,2022,43.0,46.2,44.7
상계9동,2023,43.6,47.0,45.4
상계9동,2024,44.4,47.7,46.1
상계9동,2025,45.0,48.2,46.7
상계10동,2016,38.6,41.2,40.0
상계10동,2017,39.3,41.7,40.6
상계10동,2018,40.2,42.4,41.4
상계10동,2019,40.9,43.2,42.1
상계10동,2020,41.4,43.6,42.6
상계10동,2021,41.5,43.9,42.8
상계10동,2022,42.0,44.4,43.3
상계10동,2023,42.4,44.8,43.7
상계10동,2024,43.0,45.4,44.3
상계10동,2025,43.4,46.0,44.8
