동,법정동,거래건수,평균거래가_만원,평균평당가_만원
월계1동,월계동,2501,72743.3,3698.6
월계2동,월계동,2501,72743.3,3698.6
월계3동,월계동,2501,72743.3,3698.6
공릉1동,공릉동,2139,60356.6,3195.8
공릉2동,공릉동,2139,60356.6,3195.8
하계1동,하계동,1455,66371.9,3407.0
하계2동,하계동,1455,66371.9,3407.0
중계본동,중계동,3011,69949.9,3401.9
중계1동,중계동,3011,69949.9,3401.9
중계4동,중계동,3011,69949.9,3401.9
중계2.3동,중계동,3011,69949.9,3401.9
상계1동,상계동,5585,56980.3,3258.7
상계2동,상계동,5585,56980.3,3258.7
상계3.4동,상계동,5585,56980.3,3258.7
상계5동,상계동,5585,56980.3,3258.7
상계6.7동,상계동,5585,56980.3,3258.7
상계8동,상계동,5585,56980.3,3258.7
상계9동,상계동,5585,56980.3,3258.7
상계10동,상계동,5585,56980.3,3258.7
